Product Name,Maker,Color,Model,Category,Balance Qty,Minimum Qty,Discount %
TOUCH GLASS SAM 9082 BLACK,SAM,BLACK,9082,TOUCH GLASS,2818,5,0
TOUCH GLASS SAM 9082 GOLD,SAM,GOLD,9082,TOUCH GLASS,0,5,0
TOUCH GLASS SAM 7262 BLACK,SAM,BLACK,7262,TOUCH GLASS,749,5,0
TOUCH GLASS SAM 7262 WHITE,SAM,WHITE,7262,TOUCH GLASS,676,5,0
TOUCH GLASS OPPO A37 WHITE,OPPO,WHITE,A37,TOUCH GLASS,6425,5,0
TOUCH GLASS OPPO A37 BLACK,OPPO,BLACK,A37,TOUCH GLASS,0,5,0
TOUCH GLASS OPPO A57 BLACK,OPPO,BLACK,A57,TOUCH GLASS,583,5,0
TOUCH GLASS OPPO A57 WHITE,OPPO,WHITE,A57,TOUCH GLASS,0,5,0
TOUCH GLASS OPPO A33 WHITE,OPPO,WHITE,A33,TOUCH GLASS,1727,5,0
TOUCH GLASS OPPO A33 BLACK,OPPO,BLACK,A33,TOUCH GLASS,1236,5,0
UNIT -- LCD INFINIX X626 X627 BLACK,INFINIX,BLACK,X626 X627,LCD,671,1,0
TOUCH GLASS HUAWEI Y5 PRIME 2018 BLACK,HUAWEI,BLACK,Y5 PRIME 2018,TOUCH GLASS,640,5,0
SIM TRAY SAM A10 MIX,SAM,MIX,A10,SIM TRAY,0,1,0
SIM TRAY SAM A20 MIX,SAM,MIX,A20,SIM TRAY,0,1,0
SIM TRAY SAM A30 MIX,SAM,MIX,A30,SIM TRAY,0,1,0
SIM TRAY SAM A50 MIX,SAM,MIX,A50,SIM TRAY,0,1,0
SIM TRAY SAM A70 MIX,SAM,MIX,A70,SIM TRAY,0,1,0
SIM TRAY SAM S10 PLUS MIX,SAM,MIX,S10 PLUS,SIM TRAY,0,1,0
SIM TRAY SAM A750 MIX,SAM,MIX,A750,SIM TRAY,0,1,0
UNIT COMP -- LED SAM A30S BLACK,SAM,BLACK,A30S,LED,536,1,0
UNIT -- LCD SAM A10S BLACK,SAM,BLACK,A10S,LCD,1535,1,0
UNIT -- LCD SAM A20S BLACK,SAM,BLACK,A20S,LCD,0,1,0
UNIT INCELL -- TFT SAM A20 BLACK,SAM,BLACK,A20,TFT,242,1,0
UNIT -- LCD OPPO A5 2020/C3 BLACK,OPPO,BLACK,A5 2020/C3,LCD,1,1,0
BATTERY SAM A10,SAM,,A10,BATTERY,226,1,0
BATTERY SAM A20,SAM,,A20,BATTERY,156,1,0
BATTERY SAM A50,SAM,,A50,BATTERY,268,1,0
UNIT IC -- LED SAM A750 BLACK,SAM,BLACK,A750,LED,0,1,0
TOUCH GLASS HUAWEI P8 LITE BLACK,HUAWEI,BLACK,P8 LITE,TOUCH GLASS,257,5,0
TOUCH GLASS HUAWEI P8 LITE WHITE,HUAWEI,WHITE,P8 LITE,TOUCH GLASS,0,5,0
TOUCH GLASS OPPO F1S WHITE,OPPO,WHITE,F1S,TOUCH GLASS,3014,5,0
TOUCH GLASS OPPO F1S BLACK,OPPO,BLACK,F1S,TOUCH GLASS,137,5,0
TOUCH GLASS HUAWEI Y5 2019 BLACK,HUAWEI,BLACK,Y5 2019,TOUCH GLASS,450,5,0
UNIT -- LCD VIVO Y3-Y11-Y12-Y15-Y17 BLACK,VIVO,BLACK,Y3-Y11-Y12-Y15-Y17,LCD,3204,1,0
UNIT -- LCD VIVO Y19 BLACK,VIVO,BLACK,Y19,LCD,692,1,0
UNIT -- LCD INFINIX X652 BLACK,INFINIX,BLACK,X652,LCD,483,1,0
UNIT -- LCD INFINIX X655 BLACK,INFINIX,BLACK,X655,LCD,347,1,0
UNIT -- LCD INFINIX X650 BLACK,INFINIX,BLACK,X650,LCD,2463,1,0
UNIT -- LCD INFINIX X653 BLACK,INFINIX,BLACK,X653,LCD,432,1,0
UNIT INCELL -- LCD APPLE IPHONE X GX BLACK,APPLE,BLACK,IPHONE X GX,LCD,0,1,0
UNIT -- LCD VIVO Y81 Y83 BLACK,VIVO,BLACK,Y81 Y83,LCD,15,1,0
UNIT INCELL -- TFT SAM A30/A50 BLACK,SAM,BLACK,A30/A50,TFT,0,1,0
UNIT INCELL -- TFT SAM A30S BLACK,SAM,BLACK,A30S,TFT,0,1,0
UNIT INCELL -- TFT SAM J810 BLACK,SAM,BLACK,J810,TFT,224,1,0
UNIT INCELL -- TFT SAM A70 BLACK,SAM,BLACK,A70,TFT,0,1,0
UNIT INCELL -- TFT SAM A750 BLACK,SAM,BLACK,A750,TFT,1,1,0
UNIT -- LCD INFINIX X690 BLACK,INFINIX,BLACK,X690,LCD,1,1,0
UNIT -- LCD TECNO KC1 BLACK,TECNO,BLACK,KC1,LCD,112,1,0
UNIT -- LCD APPLE IPHONE 11 BLACK,APPLE,BLACK,IPHONE 11,LCD,14,1,0
UNIT IC -- LED SAM J6 BLACK,SAM,BLACK,J6,LED,0,1,0
